,股票代码,股票名称,每股收益(元),营业收入(元),营业收入同比增长(%),营业收入季度环比增长(%),净利润(元),净利润同比增长(%),净利润季度环比增长(%),每股净资产(元),净资产收益率(%),每股经营现金流量(元),销售毛利率(%),所属行业,最新公告日期
2753,sz.002022,科华生物,0.6717,1453210918.22,170.823939601,-8.485,342225938.64,584.5,25.1158,6.475492489865,10.33,0.684493195225,61.0901690876,医药制造,2021-04-28
2754,sz.002015,协鑫能科,0.1145,2781153501.01,10.5032934401,-11.4953,154904967.44,72.35,-8.3657,4.348822023147,2.67,0.456779362921,22.6041833175,电力行业,2021-04-28
2755,sz.002004,华邦健康,0.06,2819567735.13,25.0535666172,-5.6603,121602831.86,46.74,-11.763,4.923804966816,1.26,-0.019093754514,37.7289620829,农药兽药,2021-04-28
2756,sz.002003,伟星股份,0.06,541401658.53,33.462516577,-20.38,44936424.83,96.12,-11.4189,3.308332823824,1.77,-0.105051596324,36.5425652827,纺织服装,2021-04-28
2757,sz.001696,宗申动力,0.1127,2230593800.59,60.1578777325,1.0739,129033447.46,30.42,51.4192,4.032235115101,2.83,0.090036700351,12.2680397937,交运设备,2021-04-28
2758,sz.001202,炬申股份,0.19,201210173.35,-9.1,,18522368.04,21.38,,2.807611073655,7.07,-0.356334812859,16.8605438011,交运物流,2021-04-28
2759,sz.000997,新大陆,0.1017,1700598312.67,31.38,-20.1481,103686598.92,5.31,1566.8628,5.89797697665,1.7,0.115127207887,22.7448513788,电子信息,2021-04-28
2760,sz.000995,皇台酒业,-0.024,11945293.61,41.6161846621,-74.7622,-4302636.07,-32.94,-114.5945,0.72981702629,0.0,0.010549148291,66.7969587061,酿酒行业,2021-04-28
2761,sz.000993,闽东电力,-0.0382,78739431.83,3.19527001,-5.6294,-17494088.51,32.43,76.9685,4.134769896691,-0.92,0.079680493886,14.7605811471,电力行业,2021-04-28
2762,sz.000982,中银绒业,0.0025,124224720.5,438.5509637176,35.6761,10520047.15,511.1,-37.5537,0.256133980013,0.93,0.014279020024,12.0887926168,纺织服装,2021-04-28
2763,sz.000975,银泰黄金,0.1083,1511035628.74,-22.0683237014,3.4081,300744465.41,9.64,4.9107,3.672422911043,2.99,0.219591208687,33.8864343561,贵金属,2021-04-28
2764,sz.000963,华东医药,0.4334,8896632277.36,3.4724347342,8.7318,758380756.56,-33.9,77.0286,8.724831305921,5.04,0.172769753614,34.7490902872,医药制造,2021-04-28
2765,sz.000953,河化股份,0.0149,46757837.67,-21.9656467192,120.8767,5459994.36,-37.05,134.858,0.471018278419,2.95,0.006456660187,31.6869755068,化肥行业,2021-04-28
2766,sz.000948,南天信息,-0.0591,798150463.56,21.0932661592,-47.0972,-22524546.77,52.15,-124.3384,5.890326558574,-1.0,-1.898426918146,17.4138590323,软件服务,2021-04-28
2767,sz.000925,众合科技,0.059,474872157.01,39.1728710382,-56.4049,32018058.44,120.97,-41.8382,4.564807592094,1.3,-0.794103264142,38.2574408982,交运设备,2021-04-28
2768,sz.000912,泸天化,0.03,1131373601.5,-17.4068014145,-33.9812,50679733.13,45.36,-74.9871,3.489642815108,0.93,0.047818147041,13.8288725194,化肥行业,2021-04-28
2769,sz.000911,南宁糖业,0.02,901375995.14,18.4690921053,204.9912,5307345.8,-56.1,135.0822,0.391484019901,0.86,-0.371014090749,12.6284416796,食品饮料,2021-04-28
2770,sz.000910,大亚圣象,0.13,1409821694.07,86.7605319764,-45.9433,71025138.49,227.91,-64.0894,10.380883535456,1.26,-0.166611472869,29.3379261342,木业家具,2021-04-28
2771,sz.000906,浙商中拓,0.24,36309207327.1,133.3615150262,-5.2189,168500503.44,63.95,13.3214,4.471441417335,5.63,-7.956189142017,1.8220193222,商业百货,2021-04-28
