,Date,High,Low,Open,Close,Volume
34,2020/3/20,17.08,16.41,17.08,16.7,76778.5
35,2020/3/23,16.29,15.45,16.22,15.57,71252.31
36,2020/3/24,16,15.28,15.92,15.96,55712.13
37,2020/3/25,16.44,16.02,16.28,16.35,60533.4
38,2020/3/26,16.24,15.9,16.14,15.91,47146.17
39,2020/3/27,16.21,15.72,16.15,15.75,34214.6
40,2020/3/30,15.4,14.71,15.38,15.08,58816.29
41,2020/3/31,15.34,14.85,15.25,14.91,33470.9
42,2020/4/1,15.22,14.63,14.92,15.08,37749.39
43,2020/4/2,15.58,14.81,15.05,15.57,54001.28
44,2020/4/3,15.65,15.25,15.54,15.28,45272.91
45,2020/4/7,15.92,15.51,15.6,15.9,55856.33
46,2020/4/8,16.78,16.12,16.78,16.28,97066.75
47,2020/4/9,17.36,16.29,16.29,17.29,138666.08
48,2020/4/10,17.12,16.3,17.03,16.45,93042.46
49,2020/4/13,16.3,15.85,16.2,15.95,36370.46
50,2020/4/14,16.42,16.05,16.2,16.38,39975.3
51,2020/4/15,15.8,14.91,15.8,15.12,116510.7
52,2020/4/16,15.42,14.79,14.93,15.36,60831.33
53,2020/4/17,15.48,15.09,15.48,15.1,55830
54,2020/4/20,15.28,14.95,15.22,15.24,34297.03
55,2020/4/21,15.23,14.92,15.23,15.04,29217.8
56,2020/4/22,15.09,14.86,14.99,15.03,32913
57,2020/4/23,15.11,14.72,15.08,14.75,40939.88
58,2020/4/24,14.8,14.16,14.65,14.28,43878.1
59,2020/4/27,14.35,13.88,14.28,13.88,36795.1
60,2020/4/28,14.01,12.8,13.98,13.38,53595.22
61,2020/4/29,13.54,13.2,13.35,13.35,23351.45
62,2020/4/30,13.94,13.43,13.45,13.85,37302.53
63,2020/5/6,14.29,13.52,13.65,14.29,38690.19
64,2020/5/7,14.49,14.21,14.39,14.37,47491.34
65,2020/5/8,14.65,14.31,14.48,14.49,42656.81
66,2020/5/11,14.6,14.15,14.5,14.3,34948.96
67,2020/5/12,14.4,13.98,14.35,14.33,39727.5
68,2020/5/13,14.42,14.2,14.35,14.28,26334.69
69,2020/5/14,14.35,14.1,14.2,14.11,21032.3
70,2020/5/15,14.32,14.05,14.22,14.05,20487.1
71,2020/5/18,14.13,13.69,14.01,13.75,25733.46
72,2020/5/19,13.99,13.67,13.88,13.72,25435.06
73,2020/5/20,13.75,13.46,13.7,13.55,26326.89
74,2020/5/21,13.63,13.24,13.54,13.3,25966.5
75,2020/5/22,13.34,12.85,13.34,12.96,30350.79
76,2020/5/25,12.99,12.63,12.96,12.76,23718.23
77,2020/5/26,13.48,12.78,12.78,13.26,35279.8
78,2020/5/27,13.35,13.09,13.26,13.22,24769.57
79,2020/5/28,13.3,12.93,13.26,13.07,19846.23
80,2020/5/29,13.34,13.08,13.17,13.3,27919.8
81,2020/6/1,13.78,13.32,13.39,13.72,43910.83
82,2020/6/2,14.37,13.68,13.8,14.14,70404.5
83,2020/6/3,14.22,13.83,14.18,13.92,41974.68
84,2020/6/4,14.07,13.75,14.01,13.98,30919.6
85,2020/6/5,14.1,13.81,14.1,14.07,30886.99
86,2020/6/8,14.19,13.87,14.19,14.02,26915.2
87,2020/6/9,14.67,13.89,14.02,14.56,73876.93
88,2020/6/10,14.42,14,14.41,14.12,50715.29
89,2020/6/11,14.25,13.91,14.12,13.91,40566.04
90,2020/6/12,14.85,13.45,13.58,14.72,119285.89
91,2020/6/15,15.23,14.31,14.32,15.12,133057.02
92,2020/6/16,15.3,14.77,15.22,15.02,92519.61
93,2020/6/17,15.27,14.7,14.95,15.2,95491.71
94,2020/6/18,15.62,15.01,15.18,15.02,96577.45
95,2020/6/19,14.96,14.68,14.9,14.75,58677.1
96,2020/6/22,14.98,14.73,14.8,14.94,39507.54
97,2020/6/23,14.9,13.74,14.84,14.65,45700.93
98,2020/6/24,14.75,14.29,14.66,14.35,35873.86
99,2020/6/29,14.29,13.88,14.2,13.93,34975.9
100,2020/6/30,14.48,13.98,13.98,14.34,37599.88
101,2020/7/1,14.65,14.22,14.35,14.43,42272.07
102,2020/7/2,14.79,14.35,14.35,14.73,53079.02
103,2020/7/3,15.8,14.91,14.92,15.22,100658.81
104,2020/7/6,15.75,15.06,15.07,15.62,130730.68
105,2020/7/7,16.37,15.6,15.78,16.04,130830.93
106,2020/7/8,16.18,15.71,15.97,16.06,100001.34
107,2020/7/9,16.67,15.92,15.97,16.61,123706.06
108,2020/7/10,17.15,16.33,16.5,16.8,128210.19
109,2020/7/13,17.55,16.6,16.65,17.2,119880.5
110,2020/7/14,17.38,16.51,17.2,16.91,103044.57
111,2020/7/15,17.04,16.18,16.99,16.28,99953.68
112,2020/7/16,16.55,15.44,16.34,15.44,72364.94
113,2020/7/17,15.76,15.01,15.52,15.15,49660.15
114,2020/7/20,15.74,15.21,15.33,15.66,46178
115,2020/7/21,16.08,15.48,15.85,15.77,51495.48
116,2020/7/22,16.02,15.6,15.69,15.8,52932.81
117,2020/7/23,15.78,15.19,15.59,15.5,49270.9
118,2020/7/24,15.63,14.6,15.46,14.69,54772.24
119,2020/7/27,14.76,14,14.65,14.2,56320.8
120,2020/7/28,14.5,14.01,14.3,14.19,41431.7
121,2020/7/29,14.62,13.98,14.19,14.59,36534.05
122,2020/7/30,14.7,14.37,14.7,14.41,29587.23
123,2020/7/31,15.85,14.42,14.42,15.85,133396.94
124,2020/8/3,17.44,16.69,16.72,17.44,218155.94
125,2020/8/4,18.59,16.7,17.99,16.97,275214.93
126,2020/8/5,17.41,16.78,17,17.13,141901.99
127,2020/8/6,17.32,16.25,17.13,16.5,116334.88
128,2020/8/7,16.78,15.95,16.6,16.25,89749.74
129,2020/8/10,16.49,16,16.23,16.18,63690.75
130,2020/8/11,16.37,16.01,16.28,16.36,60433.8
131,2020/8/12,16.34,15.34,16.33,15.72,74999.03
132,2020/8/13,15.79,15.44,15.76,15.46,40366.47
133,2020/8/14,17.01,15.55,15.55,17.01,86235.15
134,2020/8/17,18.41,16.8,17,17.7,227443.99
135,2020/8/18,17.92,17.33,17.55,17.9,145595.77
136,2020/8/19,18.57,17.13,17.48,18.06,179646.65
137,2020/8/20,17.96,17.3,17.67,17.41,79404.6
138,2020/8/21,18.39,17.15,17.71,17.55,81990.8
139,2020/8/24,17.77,17.03,17.25,17.1,55562.1
140,2020/8/25,18.26,17.07,17.17,17.2,85214.8
141,2020/8/26,17.4,16.2,17.21,16.32,77710
142,2020/8/27,17.95,16.21,16.4,17.95,100285.3
143,2020/8/28,19.75,17.88,18.22,19.75,262829.03
144,2020/8/31,21.73,20.55,21,21.73,104686.64
145,2020/9/1,23.9,21.26,22.58,23.4,505269.13
146,2020/9/2,25.74,25.74,25.74,25.74,65045.18
