,股票代码,股票名称,所属地域,行业,业绩预告发布日期,业绩预告统计日期,业绩预告类型,业绩预告摘要,预告归属于母公司的净利润增长上限(%),预告归属于母公司的净利润增长下限(%)
4448,sz.300049,福瑞股份,内蒙,医疗保健,2020/4/10,2020/3/31,预增,"预计2020年1-3月归属于上市公司股东的净利润盈利:1,067万元至1,200万元,同比上年增长:60.09%至80.04%。",80.04,60.09
4449,sz.300049,福瑞股份,内蒙,医疗保健,2020/7/11,2020/6/30,略减,"预计2020年1-6月归属于上市公司股东的净利润盈利:1,301.68万元至1,627.18万元,同比上年下降:0%至20%。",0,-20
4450,sz.300049,福瑞股份,内蒙,医疗保健,2020/10/14,2020/9/30,略增,"预计2020年1-9月归属于上市公司股东的净利润盈利:2,766.92万元至3,127.82万元,同比上年增长:15%至30%。",30,15
4451,sz.300049,福瑞股份,内蒙,医疗保健,2021/1/16,2020/12/31,略增,"预计2020年1-12月归属于上市公司股东的净利润盈利:5,640.15万元至6,507.87万元,同比上年增长:30%至50%。",50,30
4452,sz.300050,世纪鼎利,广东,软件服务,2020/1/20,2019/12/31,首亏,"预计2019年1-12月归属于上市公司股东的净利润亏损:47,481万元至47,981万元。",-937.505526,-946.324902
4453,sz.300050,世纪鼎利,广东,软件服务,2020/4/9,2020/3/31,首亏,预计2020年1-3月归属于上市公司股东的净利润亏损:300万元至800万元。,-120.028992,-153.410644
4454,sz.300050,世纪鼎利,广东,软件服务,2021/1/21,2020/12/31,扭亏,"预计2020年1-12月归属于上市公司股东的净利润盈利:3,000万元至4,500万元。",109.320968,106.213978
4455,sz.300051,三五互联,福建,互联网,2020/1/22,2019/12/31,减亏,"预计2019年1-12月归属于上市公司股东的净利润亏损:25,480万元至25,980万元,同比上年增长:24.88%至26.33%。",26.33,24.88
4456,sz.300051,三五互联,福建,互联网,2020/4/9,2020/3/31,首亏,预计2020年1-3月归属于上市公司股东的净利润:-200万元至0万元。,-100,-148.417685
4457,sz.300051,三五互联,福建,互联网,2021/1/28,2020/12/31,减亏,"预计2020年1-12月归属于上市公司股东的净利润亏损:7,700万元至11,000万元,同比上年增长:57.24%至70.07%。",70.07,57.24
4458,sz.300052,中青宝,深圳,互联网,2020/1/21,2019/12/31,预增,"预计2019年1-12月归属于上市公司股东的净利润盈利:4,617.96万元至5,708.82万元,同比上年增长:27%至57%。",57,27
4459,sz.300052,中青宝,深圳,互联网,2020/3/27,2020/3/31,预减,"预计2020年1-3月归属于上市公司股东的净利润盈利:479.29万元至838.76万元,同比上年下降:30%至60%。",-30,-60
4460,sz.300052,中青宝,深圳,互联网,2021/1/29,2020/12/31,首亏,"预计2020年1-12月归属于上市公司股东的净利润亏损:11,000万元至15,000万元,同比上年下降:312.67%至390.01%。",-312.67,-390.01
4461,sz.300053,欧比特,广东,半导体,2020/1/24,2019/12/31,首亏,"预计2019年1-12月归属于上市公司股东的净利润亏损:21,930万元至22,430万元。",-331.023865,-336.291167
4462,sz.300053,欧比特,广东,半导体,2020/4/10,2020/3/31,略减,"预计2020年1-3月归属于上市公司股东的净利润盈利:1,200万元至1,800万元,同比上年下降:22.21%至48.14%。",-22.21,-48.14
4463,sz.300053,欧比特,广东,半导体,2021/1/23,2020/12/31,扭亏,"预计2020年1-12月归属于上市公司股东的净利润盈利:12,000万元至15,200万元。",165.02333,151.334208
4464,sz.300053,欧比特,广东,半导体,2021/1/29,2020/12/31,扭亏,"预计2020年1-12月归属于上市公司股东的净利润盈利:11,000万元至15,200万元。",165.02333,147.056357
4465,sz.300054,鼎龙股份,湖北,化工原料,2020/1/15,2019/12/31,预减,"预计2019年1-12月归属于上市公司股东的净利润盈利:1,465.65万元至5,862.62万元,同比上年下降:80%至95%。",-80,-95
4466,sz.300054,鼎龙股份,湖北,化工原料,2020/4/10,2020/3/31,预减,"预计2020年1-3月归属于上市公司股东的净利润盈利:1,334.8万元至2,135.67万元,同比上年下降:60%至75%。",-60,-75
4467,sz.300054,鼎龙股份,湖北,化工原料,2020/10/28,2020/12/31,不确定,预计2020年1-12月归属于上市公司股东的净利润不确定。,0,0
4468,sz.300054,鼎龙股份,湖北,化工原料,2021/1/23,2020/12/31,首亏,"预计2020年1-12月归属于上市公司股东的净利润亏损:13,000万元至17,700万元。",-481.336767,-619.204675
4469,sz.300055,万邦达,北京,环境保护,2020/1/20,2019/12/31,扭亏,"预计2019年1-12月归属于上市公司股东的净利润盈利:7,000万元至7,500万元。",183.008211,177.47433
4470,sz.300055,万邦达,北京,环境保护,2020/4/9,2020/3/31,略减,"预计2020年1-3月归属于上市公司股东的净利润盈利:3,500万元至4,000万元,同比上年下降:40.65%至48.07%。",-40.65,-48.07
4471,sz.300055,万邦达,北京,环境保护,2020/7/14,2020/6/30,略减,"预计2020年1-6月归属于上市公司股东的净利润盈利:6,000万元至6,800万元,同比上年下降:15.9%至25.8%。",-15.9,-25.8
4472,sz.300055,万邦达,北京,环境保护,2021/1/26,2020/12/31,首亏,"预计2020年1-12月归属于上市公司股东的净利润亏损:35,000万元至43,000万元,同比上年下降:569.06%至676.27%。",-569.06,-676.27
4473,sz.300056,中创环保,福建,环境保护,2020/1/22,2019/12/31,扭亏,"预计2019年1-12月归属于上市公司股东的净利润盈利:500万元至1,000万元。",102.329053,101.164526
4474,sz.300056,中创环保,福建,环境保护,2020/4/9,2020/3/31,扭亏,预计2020年1-3月归属于上市公司股东的净利润盈利:0万元至500万元。,123.698199,100
4475,sz.300056,中创环保,福建,环境保护,2021/1/28,2020/12/31,扭亏,"预计2020年1-12月归属于上市公司股东的净利润盈利:1,380万元至2,070万元。",202.853574,168.569049
4476,sz.300057,万顺新材,广东,广告包装,2020/1/24,2019/12/31,略增,"预计2019年1-12月归属于上市公司股东的净利润盈利:12,181.82万元至14,618.18万元,同比上年增长:0%至20%。",20,0
4477,sz.300057,万顺新材,广东,广告包装,2020/4/10,2020/3/31,首亏,预计2020年1-3月归属于上市公司股东的净利润亏损:400万元至850万元。,-115.843835,-133.668149
4478,sz.300058,蓝色光标,北京,广告包装,2020/1/15,2019/12/31,预增,"预计2019年1-12月归属于上市公司股东的净利润盈利:70,000万元至75,000万元,同比上年增长:79.97%至92.82%。",92.82,79.97
4479,sz.300058,蓝色光标,北京,广告包装,2020/4/9,2020/3/31,略减,"预计2020年1-3月归属于上市公司股东的净利润盈利:20,000万元至22,000万元,同比上年下降:0.5%至9.54%。",-0.5,-9.54
4480,sz.300058,蓝色光标,北京,广告包装,2020/7/7,2020/6/30,略减,"预计2020年1-6月归属于上市公司股东的净利润盈利:32,000万元至36,000万元,同比上年下降:23.04%至31.59%。",-23.04,-31.59
4481,sz.300058,蓝色光标,北京,广告包装,2020/10/9,2020/9/30,续盈,"预计2020年1-9月归属于上市公司股东的净利润盈利:60,000万元至65,000万元,同比上年变动:-4.46%至3.5%。",3.5,-4.46
4482,sz.300058,蓝色光标,北京,广告包装,2021/1/5,2020/12/31,略增,"预计2020年1-12月归属于上市公司股东的净利润盈利:72,000万元至80,000万元,同比上年增长:1.34%至12.61%。",12.61,1.34
4483,sz.300059,东方财富,上海,证券,2020/1/22,2019/12/31,预增,"预计2019年1-12月归属于上市公司股东的净利润盈利:约172,000万元至192,000万元,同比上年增长:约79.41%至100.27%。",100.27,79.41
4484,sz.300059,东方财富,上海,证券,2020/4/10,2020/3/31,预增,"预计2020年1-3月归属于上市公司股东的净利润盈利:约82,000万元至92,000万元,同比上年增长:约112.57%至138.49%。",138.49,112.57
4485,sz.300059,东方财富,上海,证券,2021/1/23,2020/12/31,预增,"预计2020年1-12月归属于上市公司股东的净利润盈利:450,000万元至490,000万元,同比上年增长:145.73%至167.57%。",167.57,145.73
4486,sz.300061,旗天科技,上海,互联网,2020/1/23,2019/12/31,扭亏,"预计2019年1-12月归属于上市公司股东的净利润盈利:4,900万元至5,400万元,同比上年增长:106.18%至106.81%。",106.81,106.18
4487,sz.300061,旗天科技,上海,互联网,2020/4/9,2020/3/31,首亏,"预计2020年1-3月归属于上市公司股东的净利润亏损:2,800万元至3,300万元。",-149.102307,-157.870577
4488,sz.300061,旗天科技,上海,互联网,2021/1/30,2020/12/31,首亏,"预计2020年1-12月归属于上市公司股东的净利润亏损:60,000万元至83,000万元。",-1248.601591,-1688.898868
4489,sz.300062,中能电气,福建,电气设备,2020/1/17,2019/12/31,预增,"预计2019年1-12月归属于上市公司股东的净利润盈利:2,090.11万元至2,591.73万元,同比上年增长:25%至55%。",55,25
4490,sz.300062,中能电气,福建,电气设备,2020/4/10,2020/3/31,首亏,"预计2020年1-3月归属于上市公司股东的净利润亏损:3,300万元至3,800万元。",-1437.041563,-1639.623618
4491,sz.300062,中能电气,福建,电气设备,2020/10/16,2020/9/30,首亏,"预计2020年1-9月归属于上市公司股东的净利润亏损:300万元至600万元,同比上年下降:107.46%至114.92%。",-107.46,-114.92
4492,sz.300062,中能电气,福建,电气设备,2021/1/30,2020/12/31,预减,"预计2020年1-12月归属于上市公司股东的净利润盈利:1,179.54万元至1,703.77万元,同比上年下降:35%至55%。",-35,-55
4493,sz.300063,天龙集团,广东,互联网,2020/1/10,2019/12/31,扭亏,"预计2019年1-12月归属于上市公司股东的净利润盈利:6,800万元至7,300万元。",108.059672,107.507639
4494,sz.300063,天龙集团,广东,互联网,2020/4/10,2020/3/31,略增,"预计2020年1-3月归属于上市公司股东的净利润盈利:2,400万元至3,000万元,同比上年增长:10.03%至37.54%。",37.54,10.03
4495,sz.300063,天龙集团,广东,互联网,2021/1/29,2020/12/31,预增,"预计2020年1-12月归属于上市公司股东的净利润盈利:10,000万元至12,000万元,同比上年增长:31.26%至57.51%。",57.51,31.26
4496,sz.300064,ST金刚,河南,矿物制品,2020/1/18,2019/12/31,略减,"预计2019年1-12月归属于上市公司股东的净利润盈利:6,743.8万元至9,634万元,同比上年下降:0%至30%。",0,-30
4497,sz.300064,ST金刚,河南,矿物制品,2020/4/4,2019/12/31,首亏,"预计2019年1-12月归属于上市公司股东的净利润亏损:450,000万元至550,000万元。",-4770.956171,-5808.946432
4498,sz.300064,ST金刚,河南,矿物制品,2020/4/10,2020/3/31,首亏,"预计2020年1-3月归属于上市公司股东的净利润亏损:4,800万元至5,300万元。",-241.429503,-256.161743
4499,sz.300064,ST金刚,河南,矿物制品,2020/8/27,2020/6/30,首亏,"预计2020年1-6月归属于上市公司股东的净利润亏损30,000.00万元-36,000.00万元。",-733.079366,-859.69524
4500,sz.300064,ST金刚,河南,矿物制品,2021/1/29,2020/12/31,减亏,"预计2020年1-12月归属于上市公司股东的净利润亏损:80,000万元至120,000万元。",84.605169,76.907754
4501,sz.300065,海兰信,北京,软件服务,2020/1/23,2019/12/31,略增,"预计2019年1-12月归属于上市公司股东的净利润盈利:10,566.84万元至11,623.53万元,同比上年增长:0%至10%。",10,0
4502,sz.300065,海兰信,北京,软件服务,2020/4/10,2020/3/31,首亏,"预计2020年1-3月归属于上市公司股东的净利润亏损:1,360万元至1,840万元,同比上年下降:146.54%至162.96%。",-146.54,-162.96
4503,sz.300066,三川智慧,江西,电器仪表,2020/1/13,2019/12/31,预增,"预计2019年1-12月归属于上市公司股东的净利润盈利:18,093万元至21,027万元,同比上年增长:85%至115%。",115,85
4504,sz.300066,三川智慧,江西,电器仪表,2020/4/10,2020/3/31,略减,"预计2020年1-3月归属于上市公司股东的净利润盈利:1,906.8万元至2,118.62万元,同比上年下降:0%至10%。",0,-10
4505,sz.300067,安诺其,上海,染料涂料,2020/1/15,2019/12/31,略增,"预计2019年1-12月归属于上市公司股东的净利润盈利:15,902万元至17,976万元,同比上年增长:15%至30%。",30,15
4506,sz.300067,安诺其,上海,染料涂料,2020/4/7,2020/3/31,略增,"预计2020年1-3月归属于上市公司股东的净利润盈利:4,904万元至5,604万元,同比上年增长:5%至20%。",20,5
4507,sz.300068,南都电源,浙江,电气设备,2020/1/15,2019/12/31,预增,"预计2019年1-12月归属于上市公司股东的净利润盈利:36,303.35万元至43,564.01万元,同比上年增长:50%至80%。",80,50
4508,sz.300068,南都电源,浙江,电气设备,2020/4/10,2020/3/31,预减,"预计2020年1-3月归属于上市公司股东的净利润盈利:4,102.65万元至10,256.64万元,同比上年下降:50%至80%。",-50,-80
4509,sz.300068,南都电源,浙江,电气设备,2020/9/4,2020/9/30,预增,"预计2020年1-9月归属于上市公司股东的净利润盈利:46,088.22万元至55,964.27万元,同比上年增长:40%至70%。",70,40
