,股票名称,股票代码,识别日期,最新日期,形态识别,左底id,左底价格,右底id,右底价格,中顶id,中顶价格,收盘价格,颈线价格,首次突破,突破幅度,当日涨幅,突破放量,当前成交量-手,平均成交量-手,最大盈利id,最大盈利价格,最大盈利比例%,最大亏损id,最大亏损价格,最大亏损比例%
863,中锐股份,sz.002374,2022-07-18 00:00:00,2022-07-15 00:00:00,True,2022-06-09 00:00:00,3.93,2022-07-11 00:00:00,3.88,2022-06-20 00:00:00,4.31,4.65,4.31,,True,,,,,,,,,,
864,宗申动力,sz.001696,2022-07-18 00:00:00,2022-07-15 00:00:00,True,2022-05-24 00:00:00,5.7,2022-07-12 00:00:00,5.81,2022-06-23 00:00:00,6.35,6.66,6.35,True,True,10.0826,True,30418401,6673086.384615385,,,,,,
865,华骐环保,sz.300929,2022-07-18 00:00:00,2022-07-15 00:00:00,True,2022-06-09 00:00:00,12.72,2022-06-14 00:00:00,12.84,2022-06-13 00:00:00,12.99,13.44,12.99,,True,,,,,,,,,,
866,ST方科,sh.600601,2022-07-18 00:00:00,2022-07-15 00:00:00,True,2022-05-30 00:00:00,2.35,2022-06-29 00:00:00,2.34,2022-06-07 00:00:00,2.57,,,,False,,,,,,,,,,
867,卧龙地产,sh.600173,2022-07-18 00:00:00,2022-07-15 00:00:00,True,2022-05-24 00:00:00,4.97,2022-06-13 00:00:00,5.05,2022-06-07 00:00:00,5.3,,,,False,,,,,,,,,,
868,悦心健康,sz.002162,2022-07-18 00:00:00,2022-07-15 00:00:00,True,2022-06-24 00:00:00,4.27,2022-07-06 00:00:00,4.23,2022-06-30 00:00:00,4.54,,,,False,,,,,,,,,,
869,*ST全新,sz.000007,2022-07-18 00:00:00,2022-07-15 00:00:00,True,2022-06-22 00:00:00,6.95,2022-06-28 00:00:00,6.89,2022-06-22 00:00:00,6.95,7.89,6.95,,True,,,,,,,,,,
870,中胤时尚,sz.300901,2022-07-18 00:00:00,2022-07-15 00:00:00,True,2022-05-24 00:00:00,8.9,2022-06-15 00:00:00,8.98,2022-06-06 00:00:00,9.32,,,,False,,,,,,,,,,
871,凯中精密,sz.002823,2022-07-18 00:00:00,2022-07-15 00:00:00,True,2022-06-09 00:00:00,9.06,2022-06-15 00:00:00,9.06,2022-06-13 00:00:00,9.16,10.4,9.16,,True,,,,,,,,,,
872,广济药业,sz.000952,2022-07-18 00:00:00,2022-07-15 00:00:00,True,2022-05-24 00:00:00,6.98,2022-07-15 00:00:00,6.9,2022-06-17 00:00:00,7.89,,,,False,,,,,,,,,,
873,鼎龙股份,sz.300054,2022-07-18 00:00:00,2022-07-15 00:00:00,True,2022-05-24 00:00:00,18.34,2022-06-15 00:00:00,18.66,2022-06-07 00:00:00,19.86,21.1,19.86,,True,,,,,,,,,,
874,宏达电子,sz.300726,2022-07-18 00:00:00,2022-07-15 00:00:00,True,2022-06-09 00:00:00,54.02,2022-07-13 00:00:00,53.68,2022-06-24 00:00:00,63.49,,,,False,,,,,,,,,,
875,艾德生物,sz.300685,2022-07-18 00:00:00,2022-07-15 00:00:00,True,2022-05-31 00:00:00,28.05,2022-06-15 00:00:00,28.22,2022-06-02 00:00:00,29.69,30.63,29.69,,True,,,,,,,,,,
876,华盛昌,sz.002980,2022-07-18 00:00:00,2022-07-15 00:00:00,True,2022-05-24 00:00:00,24.78,2022-06-14 00:00:00,24.94,2022-06-06 00:00:00,27.81,,,,False,,,,,,,,,,
877,浙农股份,sz.002758,2022-07-18 00:00:00,2022-07-15 00:00:00,True,2022-05-24 00:00:00,12.3,2022-07-15 00:00:00,12.52,2022-06-09 00:00:00,14.88,,,,False,,,,,,,,,,
878,青达环保,sh.688501,2022-07-18 00:00:00,2022-07-15 00:00:00,True,2022-05-30 00:00:00,14.6,2022-07-07 00:00:00,14.5,2022-06-06 00:00:00,17.28,,,,False,,,,,,,,,,
879,捷强装备,sz.300875,2022-07-18 00:00:00,2022-07-15 00:00:00,True,2022-05-27 00:00:00,35.0,2022-07-15 00:00:00,35.15,2022-06-13 00:00:00,38.24,,,,False,,,,,,,,,,
880,淮北矿业,sh.600985,2022-07-18 00:00:00,2022-07-15 00:00:00,True,2022-06-22 00:00:00,13.41,2022-07-15 00:00:00,13.18,2022-07-05 00:00:00,14.94,,,,False,,,,,,,,,,
881,宇晶股份,sz.002943,2022-07-18 00:00:00,2022-07-15 00:00:00,True,2022-05-30 00:00:00,41.38,2022-06-15 00:00:00,41.68,2022-06-06 00:00:00,47.71,52.31,47.71,,True,,,,,,,,,,
882,拱东医疗,sh.605369,2022-07-18 00:00:00,2022-07-15 00:00:00,True,2022-05-24 00:00:00,105.31,2022-06-16 00:00:00,106.25,2022-06-07 00:00:00,115.3,127.56,115.3,,True,,,,,,,,,,
883,海利生物,sh.603718,2022-07-18 00:00:00,2022-07-15 00:00:00,True,2022-05-24 00:00:00,10.91,2022-06-15 00:00:00,11.1,2022-06-07 00:00:00,11.52,,,,False,,,,,,,,,,
884,大立科技,sz.002214,2022-07-18 00:00:00,2022-07-15 00:00:00,True,2022-05-24 00:00:00,11.59,2022-07-13 00:00:00,11.4,2022-06-28 00:00:00,12.86,,,,False,,,,,,,,,,
885,派林生物,sz.000403,2022-07-18 00:00:00,2022-07-15 00:00:00,True,2022-05-26 00:00:00,18.2,2022-06-23 00:00:00,18.33,2022-06-21 00:00:00,20.92,,,,False,,,,,,,,,,
