,ts_code,name,area,industry,list_date,close,turnover_rate_f,volume_ratio,pe,pe_ttm,pb,ps,ps_ttm,dv_ratio,dv_ttm,total_share,float_share,free_share,total_mv,circ_mv
151,000566.SZ,海南海药,海南,化学制药,19940525,6.99,2.2921,1.77,,,2.0812,3.819,4.2967,,,133597.9264,120400.4379,89947.4603,933849.5055,841599.0609
152,000567.SZ,海德股份,海南,多元金融,19940525,8.03,1.1385,0.56,46.6568,70.7083,1.1846,16.7544,20.5274,,,64113.8926,21784.7261,15708.0462,514834.5576,174931.3506
153,000568.SZ,泸州老窖,四川,白酒,19940509,263.29,2.2569,0.86,83.0796,68.1118,17.6167,24.3824,24.1956,0.6039,0.6039,146475.2476,146430.6555,71724.7024,38565467.9406,38553727.2866
154,000570.SZ,苏常柴A,江苏,机械基件,19940701,5.57,11.1785,0.98,125.2419,71.2079,1.4387,1.5284,1.4077,,,56137.4326,41137.4326,24052.909,312685.4996,229135.4996
155,000571.SZ,*ST大洲,海南,综合类,19940525,2.43,0.2476,0.66,,,3.0358,1.3745,1.6745,,,81406.4,80653.902,58680.6988,197817.552,195988.9819
156,000572.SZ,ST海马,海南,汽车整车,19940808,2.62,0.88,0.59,50.5768,82.5709,0.9197,0.9186,1.3493,,,164463.6426,164215.5224,107553.2273,430894.7436,430244.6687
157,000573.SZ,粤宏远A,广东,区域地产,19940815,2.67,0.6272,0.57,26.1603,,1.0139,1.8674,2.4419,3.8066,3.8066,63828.0604,63200.5829,50464.6122,170420.9213,168745.5563
158,000576.SZ,甘化科工,广东,综合类,19940907,10.16,2.8943,0.65,45.8301,5.9443,2.4082,9.098,9.9323,,,44286.1324,42797.9,24239.15,449947.1052,434826.664
159,000581.SZ,威孚高科,江苏,汽车配件,19980924,22.39,1.4765,0.62,9.9604,8.1509,1.2744,2.5717,1.8242,4.8394,4.8394,100895.057,81694.0552,47003.9754,2259040.3262,1829129.8959
160,000582.SZ,北部湾港,广西,港口,19951102,9.51,1.2879,1.32,15.7902,14.1327,1.5517,3.2429,2.9618,1.8509,1.8509,163418.9554,126681.949,42190.4101,1554114.2659,1204745.335
161,000584.SZ,哈工智能,江苏,专用机械,19951128,5.97,1.2607,0.26,110.9763,,1.9187,2.6158,2.7433,0.2025,0.2025,76093.7577,59831.5925,41493.1948,454279.7335,357194.6072
162,000585.SZ,*ST东电,海南,电气设备,19951213,1.57,0.4474,0.52,,10.6179,10.5384,13.3982,15.1895,,,87337.0,60942.0978,52792.6128,137119.09,95679.0935
163,000586.SZ,汇源通信,四川,通信设备,19951220,7.03,3.9812,2.14,162.2564,124.7864,5.3694,3.1314,2.9703,,,19344.0,19344.0,11649.4369,135988.32,135988.32
164,000587.SZ,*ST金洲,黑龙江,批发业,19960425,1.04,0.2478,0.33,,,,0.5217,0.5293,,,212374.933,121301.185,87928.8146,220869.9303,126153.2324
165,000589.SZ,贵州轮胎,贵州,汽车配件,19960308,7.21,6.194,0.62,42.458,13.9444,1.407,0.8904,0.8786,0.5548,0.5548,79758.9304,77546.4304,57901.9402,575061.8882,559109.7632
166,000590.SZ,启迪药业,湖南,中成药,19960119,7.9,0.9367,0.55,44.574,42.5749,2.9491,6.0051,6.8199,,,23947.1267,23937.6227,12885.7492,189182.3009,189107.2193
167,000591.SZ,太阳能,重庆,新型电力,19960208,6.93,10.3286,0.75,22.8791,19.4399,1.49,4.1586,4.0774,1.5873,1.5873,300709.8032,203709.8929,196375.417,2083918.9362,1411709.5578
168,000592.SZ,平潭发展,福建,林业,19960327,2.41,1.4451,0.89,188.9929,184.2856,1.4362,4.8175,4.5192,,,193178.0892,191384.6915,148555.2209,465559.195,461237.1065
169,000593.SZ,大通燃气,四川,供气供热,19960312,4.8,2.676,0.56,41.678,45.3128,1.7534,1.6585,1.4261,,,35863.1009,35820.9794,20290.3438,172142.8843,171940.7011
170,000595.SZ,*ST宝实,宁夏,机械基件,19960419,2.11,0.6211,0.85,,,9.2604,7.7862,10.0013,,,114849.8366,113864.0006,53982.0872,242333.1552,240253.0413
171,000596.SZ,古井贡酒,安徽,白酒,19960927,248.09,3.455,1.13,59.5645,65.9792,12.8453,11.9937,12.1494,0.6046,0.6046,50360.0,38360.0,11219.5978,12493812.4,9516732.4
172,000597.SZ,东北制药,辽宁,化学制药,19960523,5.08,0.476,0.82,39.4393,,1.7306,0.8347,0.8959,,,135070.2476,125355.9434,65923.1802,686156.8578,636808.1925
173,000598.SZ,兴蓉环境,四川,水务,19960529,4.54,0.3461,0.5,12.5381,11.3722,1.1278,2.8023,2.5556,1.9707,1.9707,298621.8602,298621.8602,141889.032,1355743.2453,1355743.2453
174,000599.SZ,青岛双星,山东,汽车配件,19960430,4.17,0.9411,0.65,,,1.0162,0.8315,0.8104,0.2416,0.2416,82225.9233,76768.9142,52313.5753,342882.1002,320126.3722
175,000600.SZ,建投能源,河北,火力发电,19960606,4.86,1.0512,0.64,13.6146,8.701,0.7212,0.6236,0.6364,2.4691,2.4691,179162.6376,109004.4126,61563.3843,870730.4187,529761.4452
176,000601.SZ,韶能股份,广东,水力发电,19960830,5.86,0.6198,0.61,15.786,23.4711,1.3104,1.4704,1.3582,4.2662,4.2662,108055.1669,107978.6307,63189.5618,633203.278,632754.7759
177,000603.SZ,盛达资源,北京,铅锌,19960823,13.35,3.1588,0.95,20.5405,32.3778,4.2343,3.1755,4.6115,0.7491,0.7491,68996.9346,57880.4715,34695.7677,921109.0769,772704.2945
178,000605.SZ,渤海股份,北京,水务,19960913,5.17,0.58,1.07,49.3406,61.7798,0.9021,0.9603,0.8813,0.3868,0.3868,35265.86,33569.3601,17385.8547,182324.4962,173553.5917
179,000606.SZ,顺利办,青海,互联网,19961004,2.57,1.3308,0.61,,,1.1291,0.9719,0.4091,,,76579.9353,70720.1606,50566.3566,196810.4337,181750.8127
180,000607.SZ,华媒控股,浙江,广告包装,19960830,3.69,1.0479,1.25,198.6467,,2.2679,2.061,2.3856,,,101769.841,88485.9969,41008.2987,375530.7133,326513.3286
181,000608.SZ,阳光股份,广西,区域地产,19960919,3.27,3.6942,1.63,,,0.8727,10.1008,11.9267,,,74991.3309,74976.9709,43954.2171,245221.652,245174.6948
182,000609.SZ,中迪投资,北京,区域地产,19961010,4.0,1.1176,0.6,40.9803,15.2133,0.7875,2.1848,1.9344,,,29926.5522,29200.2672,20724.4369,119706.2088,116801.0688
183,000610.SZ,西安旅游,陕西,旅游服务,19960926,7.43,1.6075,0.88,,28.1417,1.8672,2.0361,4.4886,,,23674.7901,23539.4869,17079.2724,175903.6904,174898.3877
184,000611.SZ,ST天首,内蒙,纺织,19961008,2.75,0.251,0.59,74.5958,274.8846,2.428,19.9584,48.9945,,,33782.2022,31934.7925,27934.7925,92901.0561,87820.6794
185,000612.SZ,焦作万方,河南,铝,19960926,8.03,11.7435,0.61,89.7701,21.3484,2.0482,2.0107,2.0263,0.1245,0.1245,119219.9394,119105.7144,55087.3516,957336.1134,956418.8866
186,000613.SZ,大东海A,海南,旅游服务,19970128,3.66,19.6197,2.48,1761.0258,,19.1012,51.3817,81.2436,,,36410.0,26687.98,19478.802,133260.6,97678.0068
187,000615.SZ,奥园美谷,湖北,化纤,19961016,11.1,10.8249,0.82,717.231,,4.9823,2.7524,3.0119,,,78118.0319,77381.361,44001.7183,867110.1541,858933.1071
188,000616.SZ,海航投资,辽宁,全国地产,19961108,2.23,2.4859,1.14,106.3425,1661.1506,0.7269,14.9399,39.0674,,,143023.4425,143023.4425,114445.8002,318942.2768,318942.2768
189,000617.SZ,中油资本,新疆,多元金融,19961022,6.43,0.1136,0.76,10.4315,10.2619,0.927,102.3132,99.2425,2.8771,2.8771,1264207.9079,1264207.9079,211014.3133,8128856.8478,8128856.8478
190,000619.SZ,海螺型材,安徽,其他建材,19961023,5.38,2.4023,2.04,166.9609,59.4336,0.7743,0.5359,0.5169,0.5576,0.5576,36000.0,36000.0,23962.0607,193680.0,193680.0
