,股票代码,股票名称,报告日期,基金家数,基金数量与上期相比,基金持股数（万股）,持股数与上期相比,基金持股市值,占流通盘比率,本季度当月平均涨幅,本季度第2个月平均涨幅,本季度第1个月平均涨幅,下季度第1个月平均涨幅,下季度第2个月平均涨幅
308,601919,中远海控,2020/12/31,53,41,11479.07,10091.02,140159.49,1.33,22.56,42.11,13.53,3.09,5.8
309,601916,浙商银行,2020/12/31,6,4,2295.22,595.03,9364.5,0.33,-0.82,7.41,-5.78,-2.15,3.79
310,601901,方正证券,2020/12/31,26,20,4579.81,4265.91,47492.68,0.56,15.31,-0.29,10.68,-10.19,-12.71
311,601899,紫金矿业,2020/12/31,378,155,327362.44,-4945.3,3041197.09,16.67,1.02,30.87,13.11,13.45,27.53
312,601898,中煤能源,2020/12/31,9,0,2584.68,-567.77,11501.81,0.28,0.96,12.97,0.1,-7.39,23.68
313,601888,中国中免,2020/12/31,1146,271,26489.02,3129.54,7481822.8,13.57,39.08,-0.78,-10.24,10,11.73
314,601881,中国银河,2020/12/31,2,-5,80.14,-152.81,1002.55,0.01,-2.47,11.79,-7.43,-15.2,1.25
315,601880,辽港股份,2020/12/31,2,-2,109.45,-4.05,211.24,0.01,-1.36,6.95,-3.57,-0.94,-9.25
316,601878,浙商证券,2020/12/31,9,-17,413.14,-316.59,6321.02,0.11,-6.62,13,-16.62,-14.83,-2.14
317,601877,正泰电器,2020/12/31,98,14,7708.83,-867.13,301415.89,3.59,18.49,12.77,-2.42,-2.25,-4.26
318,601872,招商轮船,2020/12/31,10,5,2084.04,1197.17,11494.22,0.37,-6.41,5.14,0.76,-16.8,9.49
319,601866,中远海发,2020/12/31,2,1,0.14,-82.5,0.42,0,0.84,38.8,0.71,-6.12,-5.24
320,601865,福莱特,2020/12/31,44,-18,1542.79,-886.6,61557.15,3.44,17.79,-12.77,33.93,-9.19,-4.97
321,601857,中国石油,2020/12/31,19,4,4242.23,1091.24,17605.25,0.03,-3.7,5.58,-0.95,-1.6,6.84
322,601838,成都银行,2020/12/31,30,-11,3134.17,-3771.95,33441.58,0.87,-6.07,13.81,5.27,-2.77,6.63
323,601827,三峰环境,2020/12/31,1,-2,0.1,-187.9,0.83,0,-7.3,3.01,-0.27,-13.28,6.7
324,601818,光大银行,2020/12/31,111,29,67799.75,33377.72,270521.02,1.64,-8.19,12.82,7.46,3.26,0.41
325,601816,京沪高铁,2020/12/31,15,-26,72497.41,-1204.75,407540.27,2.65,-2.33,4.97,-4.59,-6.23,6.22
326,601808,中海油服,2020/12/31,8,7,1041.83,997.64,13304.15,0.35,-1.82,20.12,-6.37,20.27,20.93
327,601800,中国交建,2020/12/31,7,-3,5374,-815.69,39015.26,0.46,-8.58,7.89,-0.47,-4.97,2.52
328,601799,星宇股份,2020/12/31,172,56,2423.72,1013.14,485955.28,8.78,5.8,17.98,8.78,6.57,-11.66
329,601788,光大证券,2020/12/31,9,-45,187.7,-13047.76,3476.28,0.05,-3.1,10.75,-19.04,-12.85,-6.36
330,601766,中国中车,2020/12/31,17,-17,8749.11,2891.42,46457.77,0.36,-6.31,5.9,-1.78,18.55,13.86
331,601727,上海电气,2020/12/31,2,0,6963.65,-425.83,37603.72,0.59,2.3,8.87,-1.45,0.22,4.39
332,601717,郑煤机,2020/12/31,4,-8,1285.9,692.04,14054.92,0.86,14.15,-3.74,10.5,-11.15,48.72
333,601699,潞安环能,2020/12/31,9,0,1685.08,-376.23,10953.04,0.56,-0.14,12.93,-3.24,-16.71,7.45
334,601689,拓普集团,2020/12/31,57,-23,10288.97,-33.91,395405.09,9.75,17.18,-11.82,-3.65,20.16,-9.83
335,601688,华泰证券,2020/12/31,124,-176,53188.22,-14633.3,957919.83,7.23,-6.69,-2.48,-0.68,-2.81,-1.73
336,601677,明泰铝业,2020/12/31,24,15,4917.94,4508.75,69539.68,7.68,6.05,1.42,19.07,-0.56,24.31
337,601669,中国电建,2020/12/31,9,-2,18722.53,-4458.51,72643.41,1.68,-8.22,10.13,2.17,-1.84,4.14
338,601668,中国建筑,2020/12/31,165,-20,139160.86,33295.41,691629.46,3.42,-8.76,7.68,0.64,-2.7,5.23
339,601666,平煤股份,2020/12/31,14,-7,4600.73,-1073.54,27282.34,1.98,2.14,14.25,-6.11,-18.9,6.65
340,601658,邮储银行,2020/12/31,29,-2,191644.52,-2374.26,916060.79,17,-8.83,13.59,2.03,16.6,9.91
341,601636,旗滨集团,2020/12/31,85,8,18469,-3620.56,236403.23,6.88,11.16,25.48,8.7,-5.16,25.94
342,601633,长城汽车,2020/12/31,152,41,17831.76,-2115.13,674218.71,2.96,33.22,18,23.52,8.02,-25.56
343,601628,中国人寿,2020/12/31,44,-100,2487.74,-3071.21,95504.22,0.12,-9.64,-6.14,4.16,-4.8,-8.36
344,601618,中国中冶,2020/12/31,4,-19,10465.62,-22272.86,28571.15,0.59,-2.01,8.83,-2.22,5.53,19.27
345,601615,明阳智能,2020/12/31,49,-12,7537.22,3923.84,140149.62,7.49,12.23,10.83,-3.47,9.95,3.6
346,601608,中信重工,2020/12/31,2,0,13.5,0,53.46,0,4.33,7.46,-2.88,-11.63,6.28
347,601607,上海医药,2020/12/31,14,-10,844.72,-364.4,16218.72,0.44,-4.52,1.62,-1.68,-5.45,11.06
348,601601,中国太保,2020/12/31,427,259,35237.87,19945.51,1353134.37,5.15,-0.11,22.94,2.52,-7.24,23.64
349,601600,中国铝业,2020/12/31,9,-2,12601.59,-2368.57,45743.78,0.96,-12.03,36.7,-1.28,-9.26,32.65
350,601577,长沙银行,2020/12/31,10,7,317.91,187.04,3026.5,0.32,-1.7,12.47,2.3,7.07,2.19
351,601566,九牧王,2020/12/31,1,0,1900.38,538.01,21664.39,3.31,-7.53,5.75,-1.82,-6.8,0.62
352,601555,东吴证券,2020/12/31,1,-16,8.84,-771.1,87.16,0,-2.19,6.08,-8.55,-11.8,-2.25
353,601456,国联证券,2020/12/31,7,-5,872.7,161.84,18614.66,1.83,13.4,24.25,-15.65,-25.26,-7.39
354,601398,工商银行,2020/12/31,278,-19,107179.64,-85506.7,534826.42,0.4,-6.29,10.85,0.04,3.03,4.94
355,601390,中国中铁,2020/12/31,27,-24,14778.18,-12776.59,77880.99,0.73,-6.85,5.95,-0.31,1.67,9.69
356,601388,怡球资源,2020/12/31,3,2,438.96,308.53,1325.66,0.22,-6.8,33.39,7.24,-1.63,10.87
357,601377,兴业证券,2020/12/31,51,20,38232.27,24851.05,331856.13,5.71,-3.25,18.62,-6.32,-1.94,4.3
358,601360,三六零,2020/12/31,8,5,1578.63,1492.42,24800.32,0.33,-5.05,6.83,-4.33,5.61,-2.12
359,601336,新华保险,2020/12/31,118,-134,6068.86,-4739.94,351812.01,2.91,-5.16,-2.7,4.04,-16.41,7.48
360,601328,交通银行,2020/12/31,96,-4,46512.61,-27782.53,208376.5,1.19,-4.96,5.45,-0.19,0.25,2.48
361,601319,中国人保,2020/12/31,5,-2,1492.64,-72.62,9806.63,0.27,-4.5,7.04,-1.93,-9.1,1.76
362,601318,中国平安,2020/12/31,1914,421,126094.84,36516.71,10967729.24,11.64,-3.13,18.57,2.22,-8.94,7.39
363,601311,骆驼股份,2020/12/31,12,7,1012.61,679.88,9467.87,0.9,12.16,12.16,8.17,0.31,15.8
364,601288,农业银行,2020/12/31,113,-16,100777.88,3795.21,316442.54,0.34,-4.61,6.55,-0.6,0.97,3.18
365,601238,广汽集团,2020/12/31,12,-3,2405.05,181.69,31963.18,0.34,-1.64,5.18,35.7,-21.78,1.91
366,601236,红塔证券,2020/12/31,1,-1,1.92,0.38,35.69,0,10.94,0.38,-5.34,-21.94,-3.73
367,601233,桐昆股份,2020/12/31,144,107,24670.85,17235.31,507972.74,10.78,4.87,29.77,9.75,23.38,11.94
368,601231,环旭电子,2020/12/31,4,-27,159.26,-2957.67,3080.06,0.07,-11.57,0.54,-14.17,-9.37,21.7
369,601229,上海银行,2020/12/31,37,-26,12942.64,-11120.18,101470.27,0.94,-2.82,4.79,-3.43,6.22,3.02
370,601225,陕西煤业,2020/12/31,69,-1,15040.41,-2453.34,140477.44,1.5,-10.25,20.09,4.52,8.39,7.36
371,601222,林洋能源,2020/12/31,9,-8,187.57,-4643.06,1485.55,0.11,7.1,-4.44,11.42,-6.34,-6.42
372,601211,国泰君安,2020/12/31,111,-13,38285.96,-2056.99,671152.94,5.15,-6.32,5,1.01,-5.46,1.18
373,601186,中国铁建,2020/12/31,12,-13,7784.18,-2928.09,61494.98,0.68,-8.29,4.15,0.53,-2.45,2.45
374,601169,北京银行,2020/12/31,22,-2,2477.72,189.93,11992.16,0.12,-0.66,7.11,-0.17,-1.62,0.68
375,601168,西部矿业,2020/12/31,51,40,10319.65,8081.22,127757.3,4.33,-10.37,45.36,6.41,2.63,28.03
376,601166,兴业银行,2020/12/31,882,460,142829.42,46771.19,2980849.9,7.28,-0.46,20.04,10.09,15.29,8.38
377,601158,重庆水务,2020/12/31,1,0,737.77,0,3777.39,0.15,-4.92,3.05,0.4,-1.74,1.01
378,601155,新城控股,2020/12/31,33,0,2159.66,-640.04,75220.92,0.96,-1.45,9.67,-7.18,26.19,17.15
379,601138,工业富联,2020/12/31,9,-2,1405.08,419.93,19235.58,0.48,-0.62,3.49,0.53,2.26,-2.84
380,601137,博威合金,2020/12/31,11,-18,2634.88,-876.31,30248.39,3.66,-5.6,7.45,-15.65,-11.64,9.65
381,601128,常熟银行,2020/12/31,40,-23,11514.29,-3822.52,84975.47,4.42,-4.88,15.69,-13.31,-7.2,8.24
382,601126,四方股份,2020/12/31,2,0,30.48,-28,212.14,0.04,-7.27,6.74,13.74,-8.63,-1.15
383,601117,中国化学,2020/12/31,19,11,6279.06,1070.35,36858.06,1.27,-9.78,21.01,-1.63,-3.68,13.11
384,601111,中国国航,2020/12/31,50,4,6030.59,-4702.78,45169.12,0.61,-4.53,20.74,-4.18,-2.42,13.93
385,601108,财通证券,2020/12/31,3,-5,322.28,-90.46,4076.84,0.09,-4.16,6.27,-10.09,-15.27,3.76
386,601100,恒立液压,2020/12/31,197,54,8397.62,-1554.85,945219.7,6.43,21.65,25.99,6.36,6.21,-16.36
387,601099,太平洋,2020/12/31,9,-2,166.2,-71,678.11,0.02,3.97,8.96,-7.35,-24.15,2.08
388,601098,中南传媒,2020/12/31,11,-2,6531.25,1356.06,62242.82,3.64,-12.03,4.4,-3.36,-0.09,5.76
389,601088,中国神华,2020/12/31,136,-27,27944.03,11301.37,503272.02,1.69,-7.8,17.29,1.14,-5.59,2.86
390,601077,渝农商行,2020/12/31,3,0,61.43,0,276.45,0.01,-2.24,7.05,-10.72,-8.45,2.26
391,601069,西部黄金,2020/12/31,3,-7,2476.41,-1030.21,33406.72,3.89,-4.37,3.65,-2.83,-1.03,0.75
392,601066,中信建投,2020/12/31,12,-42,425.69,-652.84,17616.7,0.32,-3.63,4.86,-14.76,-4.22,-11.76
393,601058,赛轮轮胎,2020/12/31,20,14,7313.61,5964.74,44174.2,2.86,6.22,18.14,10.28,49.84,16.98
394,601038,一拖股份,2020/12/31,4,-2,1392.34,-4245.28,16944.8,2.34,10.9,-4.23,4.67,-31.61,21.6
395,601021,春秋航空,2020/12/31,55,5,4336.79,1600.17,240388.31,4.73,9.42,21.09,-5.15,13.82,3.55
396,601016,节能风电,2020/12/31,2,-2,803.21,-1606.43,2626.51,0.18,20.15,6.1,-1.68,15.24,2.88
397,601012,隆基股份,2020/12/31,996,-47,87051.57,-11354.89,7976320.05,23.08,30.53,-7.35,2.57,17.13,2.72
398,601009,南京银行,2020/12/31,58,11,11200.56,6061.83,90500.52,1.32,-6.31,14.13,-2.83,2.16,9.57
399,601006,大秦铁路,2020/12/31,49,10,7133.89,1732.12,46084.93,0.48,-4.74,6.27,0.65,-1.2,2.82
400,601005,重庆钢铁,2020/12/31,7,0,1717.98,-1764.78,2542.6,0.2,-5.59,9.72,-3.34,-4.71,12.96
401,601003,柳钢股份,2020/12/31,18,13,11699.06,7756.38,60718.1,4.56,2.9,9.29,2.02,8.51,13.08
