,股票代码,股票名称,最新价格,涨跌额,涨跌幅,成交量,成交额,振幅,最高,最低,今开,昨收,量比,换手率,市盈率(动态),市净率,总市值,流通市值
279,300873.SZ,海晨股份,27.65,0.62,2.29,18516.0,51099363.45,4.51,28.0,26.78,27.03,27.03,1.5,1.72,14.53,2.44,6376139189.0,2972199533.0
280,688157.SH,松井股份,88.39,1.97,2.28,3693.0,32468595.0,5.22,89.48,84.97,86.36,86.42,1.29,1.05,82.75,5.7,7054562881.0,3102292421.0
281,002469.SZ,三维化学,6.29,0.14,2.28,234897.0,147243001.64,3.74,6.37,6.14,6.16,6.15,2.09,3.8,15.67,1.62,4081345943.0,3891417248.0
282,603208.SH,江山欧派,64.88,1.44,2.27,11374.0,74177340.0,5.3,66.45,63.09,63.29,63.44,0.69,0.83,214.99,5.18,8861650566.0,8861650566.0
283,300887.SZ,谱尼测试,33.89,0.75,2.26,28089.0,95092161.34,3.74,34.26,33.02,33.3,33.14,0.81,2.76,40.37,2.87,9726886024.0,3452722045.0
284,300285.SZ,国瓷材料,29.4,0.65,2.26,55894.0,163824849.61,3.37,29.67,28.7,28.75,28.75,2.06,0.7,48.43,5.08,29512023937.0,23614429448.0
285,003028.SZ,振邦智能,50.8,1.12,2.25,34558.0,178173748.15,10.04,54.08,49.09,49.7,49.68,1.24,12.33,32.08,4.13,5663661520.0,1423958138.0
286,688177.SH,百奥泰,28.66,0.62,2.21,29796.0,86089027.0,5.71,29.65,28.05,28.05,28.04,1.3,2.77,-34.82,6.48,11867532800.0,3082194503.0
287,002194.SZ,武汉凡谷,9.71,0.21,2.21,253356.0,247500467.9,4.84,9.94,9.48,9.5,9.5,2.26,5.01,19.86,2.49,6636234501.0,4910635008.0
288,000404.SZ,长虹华意,6.08,0.13,2.18,1247762.0,766152412.67,10.92,6.47,5.82,5.85,5.95,2.85,17.93,21.91,1.22,4231655552.0,4230261974.0
289,603080.SH,新疆火炬,14.5,0.31,2.18,37540.0,54089970.0,3.81,14.64,14.1,14.18,14.19,2.71,2.65,16.77,1.56,2051750000.0,2051750000.0
290,603727.SH,博迈科,11.72,0.25,2.18,39419.0,46039136.0,2.96,11.8,11.46,11.47,11.47,1.63,1.4,38.17,0.99,3301749926.0,3301749926.0
291,001301.SZ,尚太科技,86.98,1.84,2.16,129471.0,1105694379.29,6.32,87.77,82.39,84.8,85.14,0.53,19.94,16.19,4.56,22595194708.0,5648803026.0
292,600282.SH,南钢股份,3.31,0.07,2.16,283119.0,93169369.0,2.47,3.32,3.24,3.25,3.24,1.22,0.63,7.37,0.78,20406451246.0,14785529158.0
293,002197.SZ,证通电子,9.94,0.21,2.16,430984.0,432867330.68,6.99,10.38,9.7,9.78,9.73,2.16,8.07,427.83,1.99,6106767504.0,5310699086.0
294,300328.SZ,宜安科技,6.63,0.14,2.16,190958.0,126405320.62,3.7,6.73,6.49,6.49,6.49,2.17,2.8,-866.43,4.23,4577508468.0,4517788743.0
295,300558.SZ,贝达药业,59.2,1.25,2.16,96957.0,575093923.39,6.68,60.87,57.0,57.0,57.95,2.25,2.34,179.91,5.12,24661685835.0,24580383456.0
