,股票名称,股票代码,识别日期,最新日期,形态识别,左底id,左底价格,右底id,右底价格,中顶id,中顶价格,收盘价格,颈线价格,首次突破,突破幅度,当日涨幅,突破放量,当前成交量-手,平均成交量-手,最大盈利id,最大盈利价格,最大盈利比例%,最大亏损id,最大亏损价格,最大亏损比例%
274,弘宇股份,002890.SZ,2022-05-08 00:00:00,2022-04-15 00:00:00,True,2022-03-15 00:00:00,15.25,2022-04-11 00:00:00,15.08,2022-03-21 00:00:00,16.59,,,,False,,,,,,,,,,
275,华熙生物,688363.SH,2022-05-08 00:00:00,2022-04-15 00:00:00,True,2022-03-15 00:00:00,102.8,2022-04-13 00:00:00,102.5,2022-03-31 00:00:00,120.99,,,,False,,,,,,,,,,
276,星源材质,300568.SZ,2022-05-08 00:00:00,2022-04-15 00:00:00,True,2022-03-08 00:00:00,31.31,2022-04-15 00:00:00,30.77,2022-03-17 00:00:00,41.78,,,,False,,,,,,,,,,
277,上机数控,603185.SH,2022-05-08 00:00:00,2022-04-15 00:00:00,True,2022-02-18 00:00:00,128.0,2022-04-11 00:00:00,125.6,2022-03-11 00:00:00,175.25,,,,False,,,,,,,,,,
278,川发龙蟒,002312.SZ,2022-05-08 00:00:00,2022-04-15 00:00:00,True,2022-03-15 00:00:00,10.3,2022-03-28 00:00:00,10.27,2022-03-18 00:00:00,10.71,11.65,10.71,,True,,,,,,,,,,
279,京粮控股,000505.SZ,2022-05-08 00:00:00,2022-04-15 00:00:00,True,2022-02-17 00:00:00,7.16,2022-03-10 00:00:00,7.23,2022-03-02 00:00:00,7.97,11.38,7.97,,True,,,,,,,,,,
280,诚意药业,603811.SH,2022-05-08 00:00:00,2022-04-15 00:00:00,True,2022-02-17 00:00:00,14.38,2022-04-14 00:00:00,14.5,2022-03-11 00:00:00,18.16,,,,False,,,,,,,,,,
281,永利股份,300230.SZ,2022-05-08 00:00:00,2022-04-15 00:00:00,True,2022-03-15 00:00:00,3.97,2022-04-11 00:00:00,3.92,2022-03-21 00:00:00,4.23,,,,False,,,,,,,,,,
282,丝路视觉,300556.SZ,2022-05-08 00:00:00,2022-04-15 00:00:00,True,2022-03-15 00:00:00,22.51,2022-04-15 00:00:00,22.44,2022-03-22 00:00:00,29.72,,,,False,,,,,,,,,,
283,柏楚电子,688188.SH,2022-05-08 00:00:00,2022-04-15 00:00:00,True,2022-03-14 00:00:00,267.95,2022-04-15 00:00:00,264.48,2022-03-25 00:00:00,304.0,,,,False,,,,,,,,,,
284,博闻科技,600883.SH,2022-05-08 00:00:00,2022-04-15 00:00:00,True,2022-03-15 00:00:00,7.75,2022-04-13 00:00:00,7.74,2022-04-08 00:00:00,9.75,,,,False,,,,,,,,,,
285,太极集团,600129.SH,2022-05-08 00:00:00,2022-04-15 00:00:00,True,2022-03-09 00:00:00,17.87,2022-03-15 00:00:00,18.18,2022-03-11 00:00:00,19.68,,,,False,,,,,,,,,,
286,会稽山,601579.SH,2022-05-08 00:00:00,2022-04-15 00:00:00,True,2022-03-15 00:00:00,9.14,2022-04-11 00:00:00,8.99,2022-03-18 00:00:00,9.63,,,,False,,,,,,,,,,
287,景峰医药,000908.SZ,2022-05-08 00:00:00,2022-04-15 00:00:00,True,2022-02-17 00:00:00,3.84,2022-03-15 00:00:00,3.9,2022-03-11 00:00:00,4.37,,,,False,,,,,,,,,,
